year,award,title,author
2005,Longlist,It So Happens,Patricia Ferguson
2005,Longlist,The River,Tricia Wastvedt
2005,Longlist,The Falls,Joyce Carol Oates
2005,Longlist,The Remedy,Michelle Lovric
2005,Longlist,Black Dirt,Nell Leyshon
2005,Longlist,"Ursula, Under",Ingrid Hill
2005,Longlist,Nelson’s Daughter,Miranda Hearn
2005,Longlist,The Mysteries Of Glass,Sue Gee
2005,Longlist,Away From You,Melanie Finn
2005,Longlist,Tatty,Christine Dwyer Hickey
2005,Longlist,The Zigzag Way,Anita Desai
2005,Longlist,Escape Routes For Beginners,Kira Cochrane
2005,Longlist,The Great Stink,Clare Clark
2005,Longlist,Case Histories,Kate Atkinson
2004,Shortlist,The Colour,Rose Tremain
2004,Shortlist,Ice Road,Gillian Slovo
2004,Shortlist,The Great Fire,Shirley Hazzard
2004,Shortlist,Oryx And Crake,
2004,Shortlist,Purple Hibiscus,Chimamanda Ngozi Adichie
2004,Winner,Small Island,Andrea Levy
2004,Longlist,Gilgamesh,Joan London
2004,Longlist,The Flood,Maggie Gee
2004,Longlist,Kith And Kin,Steve Davies
2004,Longlist,The Amateur Marriage,Anne Tyler
2004,Longlist,The Time Traveler’s Wife,Audrey Niffenegger
2004,Longlist,Love,Toni Morrison
2004,Longlist,The Internationals,Sarah May
2004,Longlist,A Visit From Voltaire,Dinah Küng
2004,Longlist,The Namesake,Jhumpa Lahiri
2004,Longlist,Notes On A Scandal,Zoë Heller
2004,Longlist,The Electric Michelangelo,Sarah Hall
2004,Longlist,State Of Happiness,Stella Duffy
2004,Longlist,The Sari Shop,Rupa Bajwa
2004,Longlist,Brick Lane,Monica Ali
2003,Shortlist,Buddha Da,Anne Donovan
2003,Longlist,Heligoland,Shena Mackay
2003,Shortlist,The Little Friend,Donna Tartt
2003,Shortlist,The Autograph Man,Zadie Smith
2003,Shortlist,Unless,Carol Shields
2003,Winner,Property,Valerie Martin
2003,Longlist,Water Street,Crystal E. Wilkinson
2003,Longlist,The Cutting Room,Louise Welsh
2003,Longlist,The Lovely Bones,Alice Sebold
2003,Longlist,When The Emperor Was Divine,Julie Otsuka
2003,Longlist,In The Forest,Edna O’Brien
2003,Longlist,Heligoland,Shena Mackay
2003,Longlist,The Solace Of Leaving Early,Haven Kimmel
2003,Longlist,Fox Girl,Nora Okja Keller
2003,Longlist,War Crimes For The Home,Liz Jensen
2003,Longlist,What I Loved,Siri Hustvedt
2003,Longlist,What The Birds See,Sonya Hartnett
2003,Longlist,Dot In The Universe,Lucy Ellmann
2003,Longlist,English Correspondence,Janet Davey
2003,Longlist,"Caramelo, Or, Puro Cuento",Sandra Cisneros
2003,Longlist,Special,Bella Bathurst
2002,Shortlist,The White Family,Maggie Gee
2002,Shortlist,No Bones,Anna Burns
2002,Shortlist,The Siege,Helen Dunmore
2002,Shortlist,Fingersmith,Sarah Waters
2002,Winner,Bel Canto,Ann Patchett
2002,Shortlist,A Child’s Book Of True Crime,Chloe Hooper
2002,Longlist,Pop,Kitty Aldridge
2002,Longlist,The Element Of Water,Steve Davies
2002,Longlist,The Dark Room,Rachel Seiffert
2002,Longlist,Sister Crazy,Emma Richler
2002,Longlist,The Hero’s Walk,Anita Rau Badami
2002,Longlist,La Cucina,Lily Prior
2002,Longlist,Crawling At Night,Nani Power
2002,Longlist,The Story Of My Face,Kathy Page
2002,Longlist,Middle Age: A Romance,Joyce Carol Oates
2002,Longlist,The Secret Life Of Bees,Sue Monk Kidd
2002,Longlist,Niagara Falls All Over Again,Elizabeth McCracken
2002,Longlist,Five Quarters Of The Orange,Joanne Harris
2002,Longlist,Now You See Me,Lesley Glaister
2002,Longlist,True Story Based On Lies,Jennifer Clement
2001,Shortlist,Horse Heaven,Jane Smiley
2001,Shortlist,Homestead,Rosina Lippi
2001,Shortlist,Hotel World,Ali Smith
2001,Longlist,The Blind Assassin,
2001,Shortlist,Fred And Edie,Jill Dawson
2001,Winner,The Idea Of Perfection,Kate Grenville
2001,Longlist,The Hiding Place,Trezza Azzopardi
2001,Longlist,The Powerbook,Jeanette Winterson
2001,Longlist,The Bonesetter’s Daughter,
2001,Longlist,"From Caucasia, With Love",Danzy Senna
2001,Longlist,Motherkind,Jayne Anne Philips
2001,Longlist,Ahab’s Wife,Sena Jeter Naslund
2001,Longlist,Nowhere Else On Earth,Josephine Humphreys
2001,Longlist,"Dog Days, Glenn Miller Nights",Laurie Graham
2001,Longlist,The Wild,Esther Freud
2001,Longlist,"Fish, Blood And Bone",Leslie Forbes
2001,Longlist,The Last Samurai,Helen Dewitt
2001,Longlist,In The Blue House,Meaghan Delahunt
2001,Longlist,The Blind Assassin,
2000,Shortlist,Divine Secrets Of The Ya Ya Sisterhood,Rebecca Wells
2000,Shortlist,White Teeth,Zadie Smith
